,,,,,,
,2,12.183,,,,
,10,14.678,,,,
,20,28.596,,,,
,30,30.104,,,,
,40,34.445,,,,
,50,37.652,,,,
,60,40.332,,,,
,70,44.997,,,,
,80,48.759,,,,
,90,51.085,,,,
,100,64.054,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
