,geo_reply.1.,geo_reply.2.
1,NA,NA
2,-77.0196425,38.8978018
3,-113.4909267,53.544389
4,-95.3698028,29.7604267
5,-1.3080629,51.0576948
6,NA,NA
7,13.404954,52.5200066
8,-114.6276916,32.6926512
9,-102.552784,23.634501
10,-0.1537024,52.7901016
11,-85.7584557,38.2526647
12,-71.3824374,42.4072107
13,-77.0368707,38.9071923
14,140.3928501,35.7719867
15,-90.1994042,38.6270025
16,30.4244112,54.5356126
17,-102.4107493,34.2331373
18,-83.7430378,42.2808256
19,-87.6705296,41.88962
20,-95.712891,37.09024
21,-77.0368707,38.9071923
22,-88.296146,18.5001889
23,-1.1743197,52.3555177
24,-95.712891,37.09024
25,-81.5157535,27.6648274
26,-95.712891,37.09024
27,-91.9623327,30.9842977
28,-122.5303688,45.446787
29,-1.0879769,50.8197675
30,-122.0307963,36.9741171
31,-110.926479,32.2217429
32,-88.4153847,44.2619309
33,-78.6568942,37.4315734
34,-122.1180201,37.8857582
35,-95.712891,37.09024
36,-88.1103691,43.2286174
37,-76.8973092,36.3642995
38,-77.0368707,38.9071923
39,NA,NA
40,-95.712891,37.09024
41,NA,NA
42,-86.80249,33.5206608
43,-73.087749,41.6032207
44,NA,NA
45,-2.4282192,53.5768647
46,-109.8695254,22.8987148
47,-77.0368707,38.9071923
48,101.975766,4.210484
49,-93.2830021,44.8832982
50,-88.7503647,41.9294736
51,-118.2436849,34.0522342
52,-82.907123,40.4172871
53,-81.5157535,27.6648274
54,-78.9943569,33.7897086
55,-123.8264512,46.5180824
56,-121.2907796,37.9577016
57,-95.712891,37.09024
58,-95.712891,37.09024
59,-74.0059413,40.7127837
60,NA,NA
61,13.404954,52.5200066
62,-94.1680158,42.4974694
63,-77.0368707,38.9071923
64,-106.346771,56.130366
65,-96.7969879,32.7766642
66,-77.0368707,38.9071923
67,-118.2436849,34.0522342
68,-88.0118473,41.7435073
69,-86.5804473,35.5174913
70,-119.6981901,34.4208305
71,-99.9018131,31.9685988
72,-74.0059413,40.7127837
73,28.0473051,-26.2041028
74,-106.346771,56.130366
75,NA,NA
76,-95.712891,37.09024
77,-77.0368707,38.9071923
78,-105.7820674,39.5500507
79,-122.4194155,37.7749295
80,-124.0595429,44.6313876
81,-74.9512785,40.3642728
82,NA,NA
83,-52.7125768,47.5615096
84,28.0473051,-26.2041028
85,-95.712891,37.09024
86,-95.712891,37.09024
87,-99.9018131,31.9685988
88,-77.0368707,38.9071923
89,-122.5724472,38.096205
90,-79.0192997,35.7595731
91,-95.712891,37.09024
92,-79.3831843,43.653226
93,NA,NA
94,-77.1945247,41.2033216
95,-119.4179324,36.778261
96,69.345116,30.375321
97,-2.13125,49.214439
98,-95.141278,29.5431351
99,-71.3906234,-33.0516935
100,-74.0059413,40.7127837
101,19.503304,47.162494
102,-96.7969879,32.7766642
103,-82.4220631,35.2801166
104,NA,NA
105,13.404954,52.5200066
106,-77.0368707,38.9071923
107,-87.6297982,41.8781136
108,-88.7878678,43.7844397
109,-79.6248197,43.6777176
110,-87.6297982,41.8781136
111,-97.7430608,30.267153
112,-119.4179324,36.778261
113,-93.0862749,31.7607195
114,-121.4943996,38.5815719
115,-78.8783689,42.8864468
116,-74.0059413,40.7127837
117,-102.4107493,34.2331373
118,-122.2711137,37.8043637
119,-96.373747,30.6735749
120,-64.183316,10.431916
121,-7.6920536,53.1423672
122,23.7275388,37.9838096
123,-77.0368707,38.9071923
124,-71.0588801,42.3600825
125,NA,NA
126,-77.0368707,38.9071923
127,NA,NA
128,-79.9248669,40.5133572
129,-80.324529,38.9192656
130,-74.0059413,40.7127837
131,-1.1743197,52.3555177
132,NA,NA
133,-77.0368707,38.9071923
134,-122.2585399,37.8718992
135,-109.7245814,40.9882392
136,-95.3698028,29.7604267
137,-71.3824374,42.4072107
138,-6.2603097,53.3498053
139,-86.1349019,40.2671941
140,-88.7878678,43.7844397
