"","geo_reply.1.","geo_reply.2."
"1",-97.092877,35.0077519
"2",-88.070639,42.505297
"3",118.122615,24.478617
"4",-72.5678041,40.8598656
"5",-97.326517,32.830582
"6",NA,NA
"7",-102.552784,23.634501
"8",-121.6219177,39.7596061
"9",-91.8318334,35.20105
"10",3.3792057,6.5243793
"11",-95.5354816,29.8179022
"12",-118.2436849,34.0522342
"13",-99.9018131,31.9685988
"14",-91.0059611,30.4816104
"15",-86.4808043,36.9685219
"16",-91.5301683,41.6611277
"17",NA,NA
"18",-78.729088,35.807762
"19",-96.84995,32.977735
"20",-118.2436849,34.0522342
"21",-84.3640829,33.7589188
"22",-85.6023643,44.3148443
"23",-70.8226541,43.9653889
"24",-73.7562317,42.6525793
"25",-116.2146068,43.6187102
"26",-73.9906575,40.7611479
"27",-122.3320708,47.6062095
"28",-95.712891,37.09024
"29",-80.8431267,35.2270869
"30",-78.8920444,35.9981205
"31",8.468946,60.472024
"32",-77.0368707,38.9071923
"33",NA,NA
"34",-75.6971931,45.4215296
"35",72.5713621,23.022505
"36",-75.4731603,40.5949855
"37",-70.8736698,43.1978624
"38",-87.6297982,41.8781136
"39",-104.990251,39.7392358
"40",NA,NA
"41",-77.1945247,41.2033216
"42",-99.9018131,31.9685988
"43",-74.0059413,40.7127837
"44",-121.3512161,38.6597519
"45",-97.342782,31.0982344
"46",6.5016411,52.4387814
"47",-80.2644254,43.1393867
"48",NA,NA
"49",NA,NA
"50",-83.0457538,42.331427
"51",-96.8039232,36.3378321
"52",-83.2827093,42.5793103
"53",-74.0059413,40.7127837
"54",-106.346771,56.130366
"55",NA,NA
"56",-66.58973,6.42375
"57",-92.3340724,38.9517053
"58",-87.71453,43.7508284
"59",-3.435973,55.378051
"60",-1.9830004,50.8004646
"61",-98.4936282,29.4241219
"62",-112.753451,52.0340748
"63",-119.4179324,36.778261
"64",-81.5157535,27.6648274
"65",27.7373373,39.5540948
"66",-82.4571776,27.950575
"67",35.21371,31.768319
"68",-77.0368707,38.9071923
"69",-82.9000751,32.1656221
"70",-118.2436849,34.0522342
"71",-80.4136271,42.7967232
"72",-94.6858998,46.729553
"73",NA,NA
"74",-82.5306527,27.3364347
"75",-77.0368707,38.9071923
"76",-79.9958864,40.4406248
"77",-81.682279,41.501212
"78",21.0442846,49.590972
"79",NA,NA
"80",-73.087749,41.6032207
"81",NA,NA
"82",-1.1743197,52.3555177
"83",NA,NA
"84",-94.6858998,46.729553
"85",NA,NA
"86",-104.5229281,33.3945681
"87",-74.0059413,40.7127837
"88",85.3239605,27.7172453
"89",-95.712891,37.09024
"90",NA,NA
"91",-96.6088805,33.6356618
"92",-119.4179324,36.778261
"93",-99.9018131,31.9685988
"94",NA,NA
"95",-86.5804473,35.5174913
"96",-87.6297982,41.8781136
"97",-77.0368707,38.9071923
"98",-74.4056612,40.0583238
"99",-74.0059413,40.7127837
"100",-99.9018131,31.9685988
"101",-83.3393462,37.3112042
"102",NA,NA
"103",NA,NA
"104",-77.0368707,38.9071923
"105",-74.0059413,40.7127837
"106",-75.015152,-9.189967
"107",-96.7969879,32.7766642
"108",-87.771964,41.909611
"109",-81.1637245,33.836081
"110",42.5509603,29.2985278
"111",-102.4107493,34.2331373
"112",-79.8136446,35.7079146
"113",-122.3320708,47.6062095
"114",-71.5723953,43.1938516
"115",-74.0059413,40.7127837
"116",-73.657908,40.5884373
"117",-95.712891,37.09024
"118",-77.0368707,38.9071923
"119",-111.8485009,40.3879019
"120",-99.9018131,31.9685988
"121",-75.1652215,39.9525839
"122",-74.0059413,40.7127837
"123",-95.712891,37.09024
"124",-79.610801,37.3074
"125",-72.6412013,42.3250896
"126",-95.8608333,41.2619444
"127",-105.8700901,34.5199402
"128",-2.715974,52.056398
"129",-100.9836611,25.43208
"130",-1.1743197,52.3555177
"131",-72.9278835,41.308274
"132",-77.0368707,38.9071923
"133",-120.846409,56.252423
"134",-99.9018131,31.9685988
"135",-74.005787,40.7285373
"136",-73.7781391,40.6413111
"137",-78.7583432,37.8131025
"138",-71.1804988,8.5698244
"139",-79.3831843,43.653226
"140",-123.7545601,49.4741736
"141",-95.712891,37.09024
"142",-120.8958242,38.8375215
"143",NA,NA
"144",-122.0575434,37.387474
"145",NA,NA
"146",NA,NA
"147",-105.7820674,39.5500507
"148",-118.032844,33.9791793
