"","geo_reply.1.","geo_reply.2."
"1",-88.070639,42.505297
"2",-118.3286614,34.0928092
"3",-66.9036063,10.4805937
"4",-95.712891,37.09024
"5",NA,NA
"6",35.21371,31.768319
"7",-71.0588801,42.3600825
"8",-119.4179324,36.778261
"9",-75.3878525,43.3447295
"10",-86.7816016,36.1626638
"11",-95.712891,37.09024
"12",-84.263826,39.2689476
"13",NA,NA
"14",-88.7878678,43.7844397
"15",-74.0059413,40.7127837
"16",-77.0368707,38.9071923
"17",-97.308534,32.806162
"18",-122.272747,37.8715926
"19",-95.712891,37.09024
"20",-81.5157535,27.6648274
"21",-118.1937395,33.7700504
"22",-66.58973,6.42375
"23",-86.902298,32.3182314
"24",-95.712891,37.09024
"25",-78.898619,35.9940329
"26",-98.4936282,29.4241219
"27",NA,NA
"28",14.7906121,40.914388
"29",-73.9803743,40.6854138
"30",-71.2079809,46.8138783
"31",NA,NA
"32",NA,NA
"33",-117.1610838,32.715738
"34",-81.5157535,27.6648274
"35",-95.712891,37.09024
"36",-87.6297982,41.8781136
"37",-105.762548,39.8868485
"38",NA,NA
"39",-77.0368707,38.9071923
"40",-117.0991967,32.6781085
"41",-119.4179324,36.778261
"42",-80.8431267,35.2270869
"43",-4.251806,55.864237
"44",-73.9712488,40.7830603
"45",-123.8886543,43.0035553
"46",-105.0813734,39.7047095
"47",-80.1892654,25.7670007
"48",-2.58791,51.454513
"49",-77.1945247,41.2033216
"50",133.775136,-25.274398
"51",-71.2079809,46.8138783
"52",-83.0457538,42.331427
"53",-97.7430608,30.267153
"54",-74.1885825,39.641727
"55",-89.3985283,40.6331249
"56",-82.9987942,39.9611755
"57",-70.8226541,43.9653889
"58",-73.779641,40.911995
"59",NA,NA
"60",-0.1277583,51.5073509
"61",-73.9441579,40.6781784
"62",NA,NA
"63",-95.712891,37.09024
"64",-95.712891,37.09024
"65",-71.3161718,42.6334247
"66",-72.589811,42.1014831
"67",-74.0059413,40.7127837
"68",-81.3792365,28.5383355
"69",-85.6023643,44.3148443
"70",-0.1277583,51.5073509
"71",-102.552784,23.634501
"72",-105.7820674,39.5500507
"73",-91.8318334,37.9642529
"74",NA,NA
"75",-80.0942087,26.9342246
"76",-120.5542012,43.8041334
"77",-95.712891,37.09024
"78",-71.6002223,43.0204052
"79",-71.5215024,41.7036711
"80",-73.7176337,40.9700171
"81",-73.973794,40.7624284
"82",-73.9441579,40.6781784
"83",-95.712891,37.09024
"84",-82.4571776,27.950575
"85",-74.0059413,40.7127837
"86",12.989615,43.5058744
"87",-0.1277583,51.5073509
"88",-80.6501498,41.1017943
"89",-156.3366667,20.8366667
"90",144.9642449,-37.8149737
"91",2.213749,46.227638
"92",34.74743,32.026028
"93",-122.0575434,37.387474
"94",-95.712891,37.09024
"95",-75.6971931,45.4215296
"96",-120.5542012,43.8041334
"97",-75.1652215,39.9525839
"98",-105.7820674,39.5500507
"99",-86.5804473,35.5174913
"100",-95.712891,37.09024
"101",-122.1205417,37.4075646
"102",-74.0059413,40.7127837
"103",NA,NA
"104",-87.6297982,41.8781136
"105",-95.712891,37.09024
"106",NA,NA
"107",-74.0059413,40.7127837
"108",-95.712891,37.09024
"109",-122.3369017,48.4759704
"110",NA,NA
"111",-102.4107493,34.2331373
"112",-73.7562317,42.6525793
"113",-121.8863286,37.3382082
"114",-80.8431267,35.2270869
"115",-114.990651,36.010163
"116",-79.3831843,43.653226
"117",-85.1894045,30.7150882
"118",-0.137163,50.82253
"119",NA,NA
"120",-115.1398296,36.1699412
"121",-2.235599,53.481934
"122",35.21371,31.768319
"123",-0.1277583,51.5073509
"124",-75.3878525,39.907793
"125",NA,NA
"126",-82.9000751,32.1656221
"127",-122.3320708,47.6062095
"128",-118.2200712,33.8958492
"129",-73.9712488,40.7830603
"130",-117.603104,33.640855
"131",5.291266,52.132633
"132",-157.8583333,21.3069444
"133",135.4637125,34.5952774
"134",-74.0059413,40.7127837
"135",-83.9551854,35.9703599
"136",-83.7430378,42.2808256
"137",2.3522219,48.856614
"138",-96.7974097,32.7831287
"139",-117.4260466,47.6587802
"140",NA,NA
"141",-49.267137,-25.4289541
"142",-86.902298,32.3182314
"143",-79.9223592,-2.1709979
