"","player_api_id","player_name","player_fifa_id","overall_rating","gk_rating","num_app","num_leagues"
"3398",38546,"Gorka Larrea Garcia",146475,66,152,2,1
"3399",38550,"Jose Javier Barkero",52827,NA,NA,89,1
"3400",38551,"Joseba Llorente",155798,81,143,74,1
"3401",38559,"Mikel Saizar",146486,67,336,6,1
"3402",38561,"Sergio Boris",111643,NA,NA,29,1
"3403",38567,"Nikola Zigic",167515,NA,NA,37,2
"3404",38573,"Angel Lafita",146513,78,149,156,1
"3405",38575,"Jose Movilla",8798,78,158,59,1
"3406",38576,"Alberto Zapater",162047,75,149,35,2
"3407",38577,"Ewerthon",25249,79,133,1,1
"3408",38578,"Sergio Garcia",135697,79,152,160,1
"3409",38581,"Corona",146510,NA,NA,85,1
"3410",38599,"Benjamin Baltes",136040,62,45,5,1
"3411",38601,"Theofanis Gekas",150189,78,144,60,3
"3412",38604,"Przemyslaw Trytko",189240,61,116,57,1
"3413",38606,"Jonathan Santana",142783,76,163,5,1
"3414",38607,"Domingos Alexandre Martins da Costa Alex",20613,70,130,93,1
"3415",38608,"Junior Agogo",157364,NA,NA,9,1
"3416",38609,"Stiliyan Petrov",2956,NA,NA,122,1
"3417",38612,"Adil Ramzi",2115,NA,NA,37,1
"3418",38614,"Anthony Stokes",167705,NA,NA,146,1
"3419",38617,"Adam Federici",164853,73,371,27,1
"3420",38618,"Marcel Seip",139700,NA,NA,31,1
"3421",38625,"Arnaud Buhler",138415,65,133,130,1
"3422",38626,"Frederic Page",10475,60,131,103,1
"3423",38628,"Sven Neuhaus",51008,67,327,2,1
"3424",38647,"Stefan Aigner",176790,77,123,108,1
"3425",38668,"Philipp Heerwagen",122718,71,348,33,1
"3426",38672,"Stefan Buck",110907,66,117,3,1
"3427",38697,"Jonathan Woodgate",50641,NA,NA,53,1
"3428",38699,"Giuseppe Rossi",162409,NA,NA,137,2
"3429",38700,"Florent Sinama-Pongolle",51934,NA,NA,51,4
"3430",38701,"Manuel Fernandes",157960,NA,NA,33,1
"3431",38703,"Souleymane Diawara",40900,82,143,161,1
