"","psraid","age","race","sex","inc","cable1","q5f","q5d","date2a","game1","game3a","job5d","snsjob2a","ideo"
"328",101666,67,1,1,8,1,2,1,2,2,2,NA,2,3
"329",101668,68,1,2,2,2,NA,NA,NA,2,1,NA,NA,8
"330",101674,51,1,2,5,1,NA,NA,NA,2,2,1,2,2
"331",101675,53,1,1,7,1,NA,NA,NA,2,2,1,NA,3
"332",101678,81,1,2,2,1,NA,NA,NA,2,1,NA,NA,3
"333",101682,80,1,2,3,1,2,2,NA,2,2,NA,NA,1
"334",101694,99,9,1,99,1,NA,NA,2,1,1,2,NA,9
"335",101703,44,8,1,9,1,NA,NA,2,1,1,2,NA,4
"336",101715,45,2,2,99,2,NA,NA,2,1,1,1,2,3
"337",101720,66,1,1,8,1,NA,NA,2,2,8,NA,NA,2
"338",101733,66,1,1,3,1,NA,NA,2,1,8,2,2,4
"339",101737,31,1,2,3,2,NA,NA,2,2,2,NA,2,3
"340",101740,76,1,2,99,1,NA,NA,2,2,1,NA,2,1
"341",101744,63,1,1,5,1,NA,NA,NA,2,1,NA,NA,2
"342",101747,61,1,2,1,1,NA,NA,NA,2,1,NA,NA,2
"343",101756,82,1,1,99,2,2,2,NA,2,8,NA,NA,4
"344",101757,72,1,2,2,1,NA,NA,NA,2,2,NA,NA,8
"345",101781,52,1,2,9,1,1,2,2,2,1,1,8,2
"346",101784,72,1,2,6,1,NA,NA,2,1,2,NA,2,3
"347",101786,30,1,2,2,1,NA,NA,1,2,1,1,2,3
"348",101794,68,1,2,98,1,1,1,2,1,1,NA,2,3
"349",101808,52,1,2,9,1,1,2,2,1,1,1,2,3
"350",101812,81,2,2,99,1,2,2,NA,2,2,NA,NA,2
"351",101813,55,1,1,9,1,NA,NA,2,1,1,2,2,3
"352",101821,53,1,1,8,1,2,2,NA,2,1,1,NA,1
"353",101826,66,1,1,8,1,2,2,2,2,1,NA,NA,2
"354",101835,75,1,2,3,1,NA,NA,NA,2,8,NA,NA,2
"355",101841,84,2,1,2,1,2,2,NA,2,2,NA,NA,3
"356",101851,66,1,1,99,1,NA,NA,NA,2,2,1,2,3
"357",101852,42,1,2,7,2,NA,NA,2,1,1,2,2,1
"358",101865,64,1,2,5,1,NA,NA,NA,2,2,NA,NA,9
"359",101866,18,1,2,98,1,NA,NA,2,1,1,1,2,3
"360",101881,54,1,1,3,1,NA,NA,NA,2,1,1,NA,3
"361",101887,64,1,1,7,1,2,2,2,1,2,NA,NA,3
"362",101899,80,1,2,2,1,NA,NA,NA,2,1,NA,NA,3
"363",101903,86,1,1,8,1,NA,NA,NA,2,8,NA,2,3
"364",101904,77,1,2,3,1,NA,NA,2,1,2,NA,2,4
"365",101905,50,1,1,9,1,2,1,2,2,1,1,2,4
"366",101909,61,1,1,4,1,2,2,2,2,1,NA,2,3
"367",101912,50,1,2,8,1,NA,NA,2,1,1,1,2,3
"368",101921,99,9,2,99,2,1,2,2,2,1,2,NA,5
"369",101924,22,2,1,6,1,1,2,2,2,1,2,2,3
"370",101940,73,1,2,6,1,2,2,2,2,1,NA,NA,4
"371",101942,71,1,1,3,1,2,2,NA,2,1,NA,2,1
"372",101951,36,1,2,6,1,NA,NA,2,1,2,2,2,3
"373",101960,61,1,1,5,1,1,2,1,1,1,1,NA,5
"374",101962,52,1,2,8,1,NA,NA,2,2,1,2,8,1
"375",101965,75,1,2,1,1,NA,NA,NA,2,1,NA,NA,3
"376",101975,83,1,2,99,1,2,2,NA,2,8,NA,NA,4
"377",101976,45,6,2,8,1,NA,NA,2,1,1,2,2,3
"378",101979,72,2,1,5,1,2,2,NA,2,8,NA,NA,1
"379",101989,70,2,2,8,1,NA,NA,NA,2,8,NA,NA,4
"380",101992,62,1,2,99,1,2,2,NA,1,2,NA,2,2
"381",101997,30,1,2,7,1,NA,NA,2,1,1,NA,NA,3
