"","psraid","age","race","sex","inc","cable1","q5f","q5d","date2a","game1","game3a","job5d","snsjob2a","ideo"
"624",103319,48,1,1,8,1,NA,NA,2,2,8,2,NA,2
"625",103322,45,1,2,7,1,1,2,2,2,1,2,2,4
"626",103323,78,1,2,99,1,2,2,NA,2,2,NA,NA,9
"627",103325,80,1,2,4,1,2,2,NA,2,8,NA,NA,2
"628",103328,60,1,1,8,1,NA,NA,2,1,2,2,NA,2
"629",103350,66,1,2,3,2,NA,NA,2,1,1,NA,2,5
"630",103358,80,1,1,99,1,NA,NA,NA,2,8,NA,NA,2
"631",103359,85,1,2,2,1,NA,NA,NA,1,2,NA,NA,3
"632",103369,69,1,2,4,1,2,2,2,1,2,NA,2,3
"633",103379,61,1,2,8,1,2,2,NA,1,1,NA,2,5
"634",103380,42,1,2,3,1,2,2,2,1,2,1,2,8
"635",103388,44,4,2,99,1,1,2,2,2,1,1,2,2
"636",103390,55,1,2,6,2,NA,NA,NA,2,8,1,NA,1
"637",103394,55,1,2,3,1,NA,NA,2,1,1,1,2,5
"638",103399,59,2,2,8,1,2,2,2,2,1,NA,NA,2
"639",103413,46,1,2,6,1,NA,NA,2,1,2,1,2,2
"640",103420,67,1,1,8,1,1,1,2,2,2,NA,2,2
"641",103421,50,1,2,99,1,NA,NA,2,1,1,1,2,3
"642",103423,83,1,2,7,2,2,2,NA,2,8,NA,NA,4
"643",103425,48,1,2,3,1,NA,NA,NA,1,1,NA,2,3
"644",103428,73,2,1,6,1,NA,NA,NA,2,2,NA,NA,8
"645",103438,61,1,1,6,1,2,2,NA,1,2,1,NA,3
"646",103439,57,1,2,2,2,2,2,NA,2,1,1,NA,5
"647",103449,83,1,2,2,1,2,2,NA,2,2,NA,NA,3
"648",103452,69,1,2,6,1,NA,NA,2,2,1,NA,2,2
"649",103455,80,1,2,4,1,NA,NA,NA,2,8,NA,NA,4
"650",103457,69,1,1,2,1,NA,NA,NA,2,1,NA,NA,3
"651",103464,32,1,2,8,1,1,1,2,2,1,1,2,2
"652",103466,26,6,1,2,1,NA,NA,2,1,2,1,2,8
"653",103467,73,1,2,4,1,1,2,2,2,2,NA,2,3
"654",103468,87,1,2,99,1,2,2,NA,2,2,NA,NA,1
"655",103471,30,4,1,1,1,1,2,NA,1,1,NA,NA,1
"656",103498,75,1,2,1,1,NA,NA,NA,2,1,NA,NA,3
"657",103503,66,6,2,2,1,NA,NA,NA,2,2,NA,NA,2
"658",103506,55,1,2,9,1,1,2,2,1,2,NA,2,4
"659",103510,59,1,2,7,1,2,1,2,2,1,2,2,3
"660",103513,53,1,2,8,1,NA,NA,NA,1,1,1,2,5
"661",103524,72,1,2,7,1,2,1,2,2,1,NA,NA,5
"662",103528,61,1,2,99,1,1,1,2,1,1,1,2,3
"663",103534,61,1,2,6,1,2,2,NA,2,1,2,NA,4
"664",103537,61,1,2,5,1,2,1,2,1,2,2,2,2
"665",103543,71,1,1,6,1,NA,NA,2,2,2,NA,2,3
"666",103546,50,1,1,4,1,NA,NA,2,1,2,1,2,2
"667",103552,52,1,1,6,1,NA,NA,NA,1,8,1,2,3
"668",103559,71,1,2,1,1,NA,NA,NA,2,2,NA,NA,2
"669",103561,79,1,1,7,1,2,2,NA,2,2,NA,NA,2
"670",103564,66,1,2,3,1,NA,NA,2,1,2,1,2,4
"671",103569,31,1,1,8,1,NA,NA,NA,1,1,1,2,5
"672",103571,50,1,2,7,1,2,2,2,1,2,NA,2,1
"673",103572,44,1,1,3,1,1,1,2,1,1,2,2,8
"674",103573,47,1,2,9,1,2,1,2,1,2,1,2,2
"675",103586,72,1,2,6,1,2,2,2,1,1,NA,2,4
"676",103595,74,1,2,6,1,NA,NA,NA,1,2,NA,2,2
"677",103603,36,1,2,2,2,2,2,NA,1,2,1,2,2
"678",103610,66,1,1,4,2,2,2,NA,2,8,1,2,3
"679",103615,58,1,1,9,1,1,1,2,2,2,NA,NA,2
"680",103616,58,1,1,6,2,NA,NA,NA,2,1,2,NA,2
"681",103617,55,4,1,8,1,2,2,2,2,1,2,NA,5
"682",103618,73,1,1,98,1,2,2,NA,2,1,NA,NA,3
"683",103622,58,1,2,98,1,NA,NA,NA,2,1,NA,NA,2
"684",103623,88,1,1,5,1,2,2,NA,2,8,NA,NA,4
"685",103628,22,1,1,98,1,NA,NA,2,1,1,1,2,4
"686",103630,32,1,2,2,1,1,2,1,1,1,1,2,5
"687",103634,63,2,2,6,1,1,2,2,1,1,NA,2,3
"688",103658,37,1,2,7,1,NA,NA,NA,1,2,2,2,4
"689",103666,96,1,1,3,1,2,2,NA,2,8,NA,NA,2
"690",103687,74,1,1,5,1,2,2,NA,2,2,NA,NA,3
"691",103705,32,1,1,6,2,NA,NA,NA,1,1,2,2,2
"692",103723,65,1,2,6,1,2,1,2,1,2,1,2,2
"693",103724,64,1,2,9,1,NA,NA,2,1,8,2,NA,4
"694",103758,68,2,2,8,1,NA,NA,2,1,8,1,NA,4
"695",103767,56,1,1,4,1,NA,NA,NA,2,1,1,NA,2
"696",103795,72,1,2,99,1,2,1,2,1,1,NA,2,8
"697",103807,62,1,1,6,1,NA,NA,2,1,1,2,2,4
"698",103825,76,1,2,6,1,NA,NA,2,1,8,NA,NA,3
"699",103864,51,1,2,7,1,1,2,2,2,1,1,2,4
"700",103872,60,1,1,9,1,NA,NA,2,1,1,NA,2,4
"701",103886,60,1,2,5,1,2,2,NA,1,2,NA,NA,8
"702",200004,99,1,1,6,1,NA,NA,NA,2,8,2,NA,2
"703",200005,26,2,1,3,1,1,1,1,1,1,1,NA,3
"704",200019,56,1,1,9,1,NA,NA,2,1,1,2,2,5
"705",200027,38,1,1,7,1,2,2,2,2,1,2,2,2
"706",200030,32,1,2,9,1,NA,NA,2,2,1,2,1,4
"707",200031,49,2,2,1,1,1,1,2,1,1,NA,1,5
"708",200036,54,2,2,6,1,1,2,2,1,1,NA,2,4
"709",200037,30,8,1,9,2,2,1,1,1,2,2,1,8
"710",200039,56,2,2,8,1,NA,NA,2,1,2,NA,2,3
"711",200041,53,1,1,1,1,2,1,NA,1,2,NA,NA,5
"712",200047,49,1,2,5,1,1,1,2,1,1,1,2,9
"713",200056,53,9,1,7,1,1,1,1,1,2,NA,1,5
"714",200058,62,1,2,9,1,NA,NA,2,1,1,NA,2,3
"715",200066,45,1,1,5,1,NA,NA,2,1,2,NA,2,2
"716",200070,30,1,1,2,2,2,2,2,2,1,8,NA,2
"717",200073,47,1,1,4,1,2,2,NA,1,1,1,NA,8
"718",200074,52,2,1,6,1,NA,NA,2,2,1,1,2,9
"719",200078,26,1,2,7,1,NA,NA,1,1,1,1,2,4
"720",200080,39,1,1,99,1,NA,NA,1,1,2,1,2,8
"721",200083,50,1,1,2,2,NA,NA,2,1,1,2,NA,4
"722",200086,65,2,1,1,2,NA,NA,NA,2,1,2,NA,4
"723",200088,28,1,1,6,1,2,1,2,2,1,1,2,4
"724",200102,40,1,1,7,2,NA,NA,2,1,2,1,2,3
"725",200104,47,1,1,8,1,2,1,1,1,1,1,2,3
"726",200106,55,1,1,6,2,1,2,2,2,1,1,NA,2
"727",200107,38,2,1,4,2,NA,NA,1,1,1,1,1,2
"728",200116,60,1,1,5,2,NA,NA,2,2,8,NA,2,3
"729",200117,52,1,1,2,1,NA,NA,NA,2,2,1,NA,4
"730",200120,22,2,2,9,1,NA,NA,2,1,2,NA,2,2
"731",200125,33,1,1,7,1,1,1,1,1,2,2,2,3
"732",200131,19,1,1,3,1,NA,NA,2,1,1,1,1,4
"733",200134,25,8,1,6,2,1,2,2,1,2,1,1,2
"734",200138,23,1,1,3,1,1,1,2,1,1,2,2,3
"735",200144,42,1,1,8,1,NA,NA,2,2,1,1,2,3
"736",200149,30,3,2,2,2,2,2,NA,2,8,NA,8,4
"737",200158,60,1,1,7,1,1,2,2,1,1,1,NA,3
"738",200161,53,1,1,7,1,1,2,2,2,1,1,NA,2
"739",200171,53,1,1,4,2,2,1,2,1,2,2,2,5
"740",200181,38,1,2,7,1,1,1,2,2,2,2,2,2
"741",200183,53,1,2,9,1,1,2,2,1,2,NA,NA,2
"742",200184,24,4,2,5,1,1,1,2,2,1,NA,2,4
"743",200185,36,8,2,99,1,1,2,2,2,1,1,2,8
"744",200189,53,1,1,1,2,NA,NA,NA,2,2,NA,NA,4
"745",200190,80,1,1,8,1,NA,NA,2,2,2,2,2,2
"746",200191,52,1,1,2,1,2,2,2,2,1,1,2,2
"747",200196,24,2,1,3,1,NA,NA,1,1,1,2,2,3
"748",200197,19,1,1,2,1,2,2,1,1,1,1,2,8
"749",200208,53,2,2,4,2,1,1,2,1,2,NA,1,3
"750",200209,53,1,2,6,1,NA,NA,NA,1,1,NA,NA,2
"751",200215,21,1,1,2,1,2,2,2,1,1,1,2,4
"752",200221,66,1,1,6,1,2,2,NA,1,1,8,NA,2
"753",200222,65,1,1,4,1,2,1,2,2,1,2,NA,4
"754",200224,49,1,1,7,1,NA,NA,2,1,1,2,2,2
"755",200227,68,1,2,99,1,2,2,2,2,1,NA,NA,2
"756",200229,54,2,1,6,2,1,1,2,2,1,2,NA,3
"757",200230,45,5,2,7,2,1,2,2,2,1,1,NA,8
"758",200236,19,1,1,98,1,NA,NA,NA,1,1,2,NA,2
"759",200237,70,1,2,99,2,NA,NA,2,2,8,NA,2,4
"760",200238,65,1,2,8,1,NA,NA,2,2,1,NA,NA,2
"761",200239,59,1,2,8,1,2,2,2,1,2,2,NA,2
"762",200243,57,1,1,99,1,2,2,NA,2,8,NA,NA,3
"763",200250,22,1,2,1,2,1,2,2,1,2,NA,2,3
"764",200261,66,1,2,4,2,NA,NA,NA,2,8,NA,NA,4
"765",200262,99,1,2,6,1,2,2,2,2,1,1,2,3
"766",200265,77,1,2,4,1,2,2,2,2,8,NA,NA,2
"767",200266,31,1,2,8,1,NA,NA,2,1,1,NA,2,1
"768",200267,37,1,2,2,2,2,1,1,1,1,1,2,5
"769",200268,22,3,1,5,1,NA,NA,2,1,1,2,2,5
"770",200269,35,2,1,4,1,1,1,2,1,2,1,NA,2
"771",200271,28,2,1,3,1,1,1,2,2,1,1,2,2
"772",200274,52,1,2,7,1,NA,NA,2,2,2,2,2,4
"773",200277,24,1,1,6,2,1,1,1,1,1,2,NA,1
"774",200278,32,2,2,2,2,1,2,2,1,2,NA,2,2
"775",200281,65,1,2,4,1,NA,NA,NA,1,2,NA,2,8
"776",200283,65,1,1,2,2,NA,NA,NA,2,1,NA,NA,4
"777",200284,25,1,1,2,2,2,2,2,2,1,2,2,3
"778",200286,30,1,1,8,1,1,1,2,2,1,1,2,2
"779",200289,35,1,1,8,2,NA,NA,2,2,1,1,2,5
"780",200300,28,1,2,3,1,NA,NA,2,1,1,1,2,8
"781",200301,51,4,2,5,2,NA,NA,1,1,1,NA,NA,4
"782",200307,18,1,2,8,8,1,1,2,1,1,1,2,3
"783",200308,47,2,1,7,2,NA,NA,2,1,2,NA,NA,5
"784",200313,53,6,1,8,2,1,1,1,2,1,1,NA,1
"785",200317,76,1,2,98,1,NA,NA,NA,2,1,NA,NA,3
"786",200318,28,1,1,8,2,1,2,2,1,2,1,1,1
"787",200319,40,2,1,2,2,1,2,2,1,1,2,2,2
"788",200324,33,4,1,5,1,NA,NA,2,2,2,2,2,3
"789",200331,61,1,2,3,1,NA,NA,2,1,1,1,2,4
"790",200332,58,6,1,9,1,NA,NA,NA,2,8,1,NA,5
"791",200336,27,1,1,7,1,2,1,2,1,1,1,2,2
"792",200337,70,1,1,2,1,NA,NA,2,2,1,NA,2,4
"793",200340,67,1,1,5,1,NA,NA,NA,2,1,NA,NA,2
"794",200343,28,2,1,7,2,1,1,1,2,2,1,8,3
"795",200350,64,1,1,3,1,2,1,2,1,1,NA,NA,4
"796",200351,29,1,1,6,1,NA,NA,2,1,1,1,2,4
"797",200352,55,1,2,2,1,NA,NA,NA,1,1,NA,2,2
"798",200355,19,1,1,7,1,1,1,2,1,1,1,2,4
"799",200357,32,6,1,8,2,NA,NA,2,1,2,2,2,3
"800",200363,56,2,2,7,1,2,2,2,1,1,NA,2,3
"801",200365,47,9,1,7,1,1,1,2,1,1,2,2,3
"802",200373,60,6,1,6,1,NA,NA,NA,2,2,2,2,2
"803",200376,23,2,2,1,1,1,2,1,1,1,NA,2,4
"804",200378,68,1,1,6,1,NA,NA,NA,2,8,1,NA,2
"805",200382,40,1,2,8,1,2,1,2,1,1,1,2,3
"806",200385,58,2,2,4,1,NA,NA,2,1,2,NA,2,3
"807",200389,63,1,2,99,2,NA,NA,2,1,2,1,2,4
"808",200394,43,3,1,8,1,1,1,1,1,1,1,2,5
"809",200395,42,1,1,6,1,1,2,1,1,2,2,2,2
"810",200399,24,2,1,3,2,NA,NA,1,1,2,NA,2,3
"811",200403,19,1,1,1,1,NA,NA,NA,1,2,NA,2,3
"812",200409,20,1,2,9,1,NA,NA,2,1,1,1,2,3
"813",200410,73,1,1,6,1,NA,NA,NA,2,2,NA,2,4
"814",200413,21,6,1,98,1,1,1,2,2,1,NA,2,3
"815",200429,32,1,1,99,1,NA,NA,2,2,1,2,2,4
"816",200432,35,1,2,1,1,2,2,NA,2,2,NA,2,2
"817",200434,34,1,2,1,1,1,2,2,2,2,2,NA,2
"818",200437,68,1,2,1,1,2,2,2,2,2,NA,2,3
"819",200440,62,1,1,99,1,2,1,NA,2,1,1,2,2
"820",200443,29,1,2,2,1,2,2,NA,1,2,1,2,1
"821",200445,48,2,1,5,1,NA,NA,1,2,2,1,2,9
"822",200447,35,1,1,6,1,NA,NA,2,1,1,1,2,2
"823",200448,66,1,2,6,1,1,2,2,2,8,NA,2,4
"824",200451,73,1,2,99,1,2,2,NA,2,1,NA,NA,3
"825",200452,22,1,1,3,2,1,2,NA,1,2,2,NA,2
"826",200455,64,1,2,7,1,NA,NA,2,1,8,NA,2,4
"827",200458,31,1,1,9,1,NA,NA,2,1,1,2,1,4
"828",200459,30,8,2,98,1,NA,NA,2,2,1,NA,2,8
"829",200463,55,1,1,8,1,1,2,2,1,1,2,NA,3
"830",200478,20,1,1,9,1,1,2,2,1,1,1,2,2
"831",200482,25,6,1,98,1,1,2,NA,2,2,NA,NA,8
"832",200486,66,1,2,5,1,NA,NA,2,2,1,1,2,4
"833",200501,60,1,2,6,1,NA,NA,NA,2,1,NA,2,2
"834",200504,30,1,1,7,1,1,2,2,1,1,2,2,3
"835",200505,68,1,2,1,2,NA,NA,NA,2,1,NA,NA,3
"836",200507,49,2,2,1,1,1,2,NA,1,2,NA,2,2
"837",200509,69,1,1,3,2,2,2,NA,1,2,NA,NA,2
"838",200510,57,1,1,4,2,2,2,2,2,1,1,NA,4
"839",200519,70,1,2,4,1,NA,NA,NA,2,1,2,2,3
"840",200521,38,2,2,1,2,NA,NA,2,1,1,1,1,3
"841",200525,37,3,2,6,2,1,1,2,1,2,1,1,5
"842",200532,20,3,1,2,1,2,2,2,1,2,NA,2,3
"843",200539,72,1,1,5,1,2,2,NA,2,1,NA,2,1
"844",200545,68,4,1,8,1,2,2,NA,2,1,NA,NA,3
"845",200547,26,2,1,2,1,NA,NA,2,1,2,NA,1,3
"846",200551,27,6,1,4,2,1,1,NA,1,1,2,2,2
"847",200555,72,6,2,2,1,NA,NA,NA,2,1,NA,NA,3
"848",200571,50,1,1,99,1,2,2,2,2,8,2,NA,9
"849",200586,66,1,2,99,1,NA,NA,2,1,2,2,2,2
"850",200592,36,1,1,7,1,1,1,2,2,1,1,2,5
"851",200597,71,1,1,6,1,2,2,NA,2,8,NA,2,2
"852",200602,60,1,2,99,1,2,1,2,2,1,NA,2,4
"853",200605,21,2,1,1,1,1,2,1,1,8,NA,2,5
"854",200608,23,1,2,4,2,1,2,1,1,1,1,1,4
"855",200613,26,1,1,5,2,NA,NA,2,1,2,2,1,5
"856",200614,99,9,1,99,2,2,2,NA,2,1,1,NA,2
"857",200622,70,6,2,3,1,1,1,2,1,2,NA,NA,2
"858",200628,57,9,1,1,1,2,2,NA,2,1,1,2,9
"859",200629,47,6,1,2,1,1,1,2,2,1,1,2,1
"860",200630,34,1,1,7,1,1,1,2,2,1,1,2,2
"861",200633,37,1,1,5,1,1,1,2,1,1,1,2,2
"862",200634,30,1,1,5,1,NA,NA,2,1,2,2,2,9
"863",200635,66,1,2,2,1,2,2,NA,2,8,NA,2,2
"864",200638,22,1,2,1,2,2,2,2,2,1,NA,2,4
"865",200644,22,1,2,9,2,2,2,2,1,1,NA,2,4
"866",200649,52,1,1,7,2,NA,NA,2,2,1,1,NA,3
"867",200656,26,1,2,6,1,1,1,2,2,1,2,2,4
"868",200659,57,1,1,9,1,NA,NA,1,2,2,1,2,2
"869",200664,64,2,1,2,1,NA,NA,2,2,1,NA,NA,8
"870",200665,50,1,1,1,1,NA,NA,NA,2,2,1,NA,4
"871",200666,52,2,2,1,2,NA,NA,NA,2,2,NA,NA,5
"872",200671,46,1,1,6,1,NA,NA,2,1,2,1,2,3
"873",200674,26,1,1,2,2,1,2,2,1,1,1,2,2
"874",200677,60,1,1,98,1,NA,NA,2,1,1,1,2,4
"875",200701,60,1,2,2,1,2,2,NA,2,2,1,2,3
"876",200702,53,1,1,99,1,NA,NA,2,2,1,1,2,3
"877",200704,64,1,1,9,1,NA,NA,2,2,8,NA,NA,4
"878",200705,42,1,1,3,1,NA,NA,NA,2,2,1,2,3
"879",200710,54,1,2,7,1,2,2,2,2,2,2,2,3
"880",200712,53,2,2,7,1,NA,NA,2,1,1,1,2,4
"881",200714,99,2,2,6,1,1,1,2,2,1,NA,2,4
"882",200721,59,1,2,99,1,NA,NA,2,2,8,NA,2,5
"883",200723,38,2,1,2,1,1,2,2,2,2,2,1,2
"884",200725,47,1,2,8,1,2,2,NA,2,1,2,NA,4
"885",200726,34,1,1,6,2,1,1,2,1,1,2,2,3
"886",200727,38,1,1,6,2,NA,NA,1,2,1,1,2,3
"887",200730,29,1,1,4,1,NA,NA,2,1,2,1,2,2
"888",200733,42,2,2,6,1,NA,NA,2,1,1,2,1,3
"889",200747,62,1,1,5,1,2,2,NA,2,2,2,NA,4
"890",200748,57,9,1,9,2,2,2,NA,1,1,1,NA,2
"891",200751,54,1,2,6,1,2,1,2,1,1,2,2,2
"892",200757,31,1,2,4,1,NA,NA,2,2,1,1,1,8
"893",200767,61,1,2,99,1,NA,NA,2,1,2,NA,2,1
"894",200768,60,1,1,3,1,NA,NA,2,1,8,1,2,2
"895",200770,30,1,1,4,2,1,1,2,1,1,1,1,4
"896",200775,34,1,2,7,2,NA,NA,2,2,1,1,2,4
"897",200780,67,1,2,2,2,NA,NA,NA,2,1,NA,NA,2
"898",200784,60,1,1,9,1,2,1,2,1,2,1,NA,2
"899",200790,61,1,1,98,1,NA,NA,NA,2,2,1,NA,2
"900",200795,47,1,1,5,1,NA,NA,NA,1,2,1,NA,4
"901",200797,47,1,2,3,1,NA,NA,2,1,2,1,NA,2
"902",200799,42,2,1,8,1,NA,NA,2,2,1,2,2,3
"903",200803,18,6,1,5,1,NA,NA,NA,2,1,1,NA,3
"904",200805,22,1,1,9,1,1,1,1,1,1,1,2,3
"905",200806,70,1,1,7,1,2,2,2,2,1,NA,NA,2
"906",200811,63,2,2,7,1,2,2,NA,1,1,NA,NA,3
"907",200814,68,1,2,1,1,2,2,NA,2,1,NA,NA,4
"908",200815,49,4,1,1,1,2,1,2,1,2,NA,2,1
"909",200817,58,1,2,1,1,2,2,NA,2,1,1,2,2
"910",200820,28,3,1,5,2,2,1,2,2,1,2,2,4
"911",200821,64,2,1,7,1,NA,NA,2,1,1,1,2,9
"912",200832,48,1,2,3,1,NA,NA,1,1,2,1,2,4
"913",200835,99,2,1,6,1,NA,NA,2,1,2,1,NA,2
"914",200859,32,1,1,7,1,1,1,2,1,1,1,2,3
"915",200860,50,1,1,8,1,NA,NA,1,1,8,2,2,2
"916",200866,53,1,1,4,1,NA,NA,1,1,1,NA,2,3
"917",200869,43,1,2,5,1,1,2,2,1,1,2,2,3
"918",200871,49,2,2,3,1,1,2,1,2,1,NA,2,3
"919",200876,22,1,2,1,1,NA,NA,NA,1,1,1,NA,1
"920",200877,51,1,2,98,1,NA,NA,NA,1,8,1,NA,4
"921",200879,56,1,2,1,1,2,2,NA,1,2,NA,NA,2
"922",200881,36,1,1,9,1,NA,NA,2,2,1,1,2,3
"923",200884,46,1,2,4,2,1,2,2,1,2,1,2,4
"924",200886,71,1,2,8,1,2,2,NA,2,2,NA,NA,2
"925",200896,25,3,2,6,2,1,2,2,1,1,NA,2,3
"926",200899,56,1,2,6,1,1,1,2,2,1,1,NA,4
"927",200907,99,9,1,99,8,2,2,NA,2,9,NA,NA,9
"928",200908,31,4,1,6,1,1,1,2,1,1,1,2,5
"929",200909,30,9,1,99,1,1,1,2,1,1,2,2,3
"930",200916,24,2,1,3,2,NA,NA,1,2,1,1,1,3
"931",200919,47,1,2,5,2,2,2,NA,2,1,1,NA,4
"932",200922,28,1,1,8,1,1,2,2,1,1,1,2,4
"933",200927,20,1,1,6,1,NA,NA,NA,1,1,8,NA,8
"934",200928,48,2,2,1,2,NA,NA,2,1,2,NA,NA,1
"935",200929,62,1,1,6,1,NA,NA,2,2,2,1,NA,1
"936",200934,65,2,1,5,1,NA,NA,2,1,2,NA,2,3
"937",200935,50,1,2,7,1,2,2,NA,2,1,2,NA,3
"938",200939,56,1,1,6,1,NA,NA,NA,1,2,NA,NA,2
"939",200944,57,1,2,6,1,NA,NA,NA,2,1,1,2,4
"940",200949,60,1,2,98,1,1,2,2,2,1,1,2,3
"941",200952,23,3,1,6,2,NA,NA,2,1,1,2,1,4
"942",200954,20,6,1,1,1,NA,NA,2,2,1,2,2,3
"943",200959,50,1,2,99,1,NA,NA,2,2,1,1,2,3
"944",200961,23,6,1,2,1,NA,NA,1,1,1,1,2,3
"945",200962,60,1,2,99,1,2,2,2,1,8,2,2,2
"946",200964,50,2,1,6,1,2,2,2,2,1,1,NA,2
"947",200969,23,1,1,2,1,1,1,1,1,2,1,1,3
"948",200970,21,5,1,6,2,1,1,2,1,2,2,2,4
"949",200978,63,1,2,2,2,2,2,NA,2,1,NA,NA,2
"950",200981,53,1,1,98,1,NA,NA,2,1,1,1,2,3
"951",200985,22,1,2,2,1,NA,NA,2,2,1,1,1,3
"952",200986,58,1,2,3,1,2,2,2,2,2,NA,2,3
"953",200989,45,5,2,9,2,1,2,2,2,2,1,2,2
"954",200992,32,3,2,4,1,1,1,2,1,1,1,1,2
"955",200997,63,2,1,3,1,NA,NA,NA,2,2,NA,NA,2
"956",201000,41,1,1,6,2,1,2,1,2,1,1,NA,3
"957",201003,24,1,1,5,2,NA,NA,2,1,1,1,1,4
"958",201004,57,1,1,9,1,2,1,2,1,1,2,2,3
"959",201005,99,1,1,99,1,2,1,2,2,8,2,2,2
"960",201006,67,1,2,8,1,NA,NA,2,1,2,NA,2,2
"961",201016,37,1,2,4,2,NA,NA,2,1,1,1,NA,5
"962",201019,20,3,1,9,1,1,1,2,1,1,NA,2,4
"963",201025,38,1,2,1,1,2,2,2,1,2,1,2,4
"964",201028,41,4,2,7,1,2,2,2,2,1,NA,2,4
"965",201032,33,1,1,6,2,2,2,2,2,1,2,NA,1
"966",201035,45,1,2,4,1,9,2,2,1,1,9,2,9
"967",201037,26,1,1,98,1,1,1,NA,2,8,NA,2,9
"968",201041,48,1,1,9,1,NA,NA,2,2,1,1,2,4
"969",201042,68,1,1,99,1,2,2,NA,2,2,NA,NA,2
"970",201044,41,1,2,9,2,1,2,2,1,2,2,2,2
"971",201048,54,1,2,1,2,2,2,2,1,2,NA,NA,8
"972",201062,49,1,2,98,1,2,2,1,2,1,2,NA,2
"973",201070,65,1,2,4,1,2,2,NA,1,2,NA,NA,2
"974",201072,31,4,1,7,1,NA,NA,2,1,2,1,1,3
"975",201074,26,4,1,6,2,1,1,2,1,2,2,1,3
"976",201077,69,1,1,9,1,NA,NA,2,2,1,NA,NA,3
"977",201082,22,3,1,98,2,1,2,2,1,1,1,2,3
"978",201083,18,1,2,6,2,1,2,2,2,2,2,2,3
"979",201090,64,1,1,6,2,2,2,1,2,1,2,NA,3
"980",201093,73,1,2,2,1,NA,NA,NA,2,1,NA,NA,2
"981",201100,57,1,2,5,1,NA,NA,2,2,8,1,NA,9
"982",201105,36,6,1,2,2,NA,NA,NA,2,2,2,2,2
"983",201109,27,1,1,4,1,NA,NA,2,1,2,2,2,4
"984",201112,68,1,1,8,1,NA,NA,NA,2,8,NA,NA,3
"985",201116,42,1,1,6,2,NA,NA,2,2,2,NA,NA,4
"986",201118,65,1,2,98,2,NA,NA,2,1,1,NA,2,3
"987",201120,21,4,1,7,1,1,2,1,1,1,NA,2,5
"988",201128,44,5,1,3,1,1,2,2,1,2,NA,1,3
"989",201132,62,1,1,8,1,2,2,2,2,1,2,NA,3
"990",201134,50,2,1,2,1,1,1,NA,1,2,NA,1,2
"991",201143,39,1,2,2,1,NA,NA,2,2,2,NA,2,4
"992",201145,20,1,2,2,2,1,1,1,2,1,1,1,4
"993",201149,47,2,1,1,1,1,1,2,2,2,1,2,3
"994",201151,44,1,1,6,1,NA,NA,2,1,2,2,2,3
"995",201156,57,1,1,3,2,NA,NA,NA,1,2,1,NA,1
"996",201159,49,1,2,6,1,NA,NA,2,1,2,1,2,2
"997",201166,63,1,2,98,1,NA,NA,NA,2,8,NA,NA,2
"998",201170,41,1,2,99,1,2,2,2,1,2,1,2,2
"999",201178,50,1,1,8,1,NA,NA,2,1,2,2,1,1
"1000",201181,45,1,1,8,1,1,1,2,1,1,2,2,1
"1001",201182,32,2,2,98,1,NA,NA,2,2,1,1,2,3
"1002",201183,45,1,1,4,1,NA,NA,2,2,2,2,2,2
"1003",201188,66,1,2,2,2,NA,NA,NA,2,1,NA,NA,2
"1004",201193,33,1,2,3,2,NA,NA,2,2,8,2,2,5
"1005",201195,30,1,1,5,2,1,1,2,1,1,2,NA,1
"1006",201196,38,1,1,2,1,NA,NA,NA,2,2,1,NA,5
"1007",201200,34,2,2,8,1,1,2,2,2,1,1,1,3
"1008",201201,92,1,2,1,2,NA,NA,NA,2,1,NA,NA,8
"1009",201204,55,1,2,6,2,NA,NA,2,2,1,2,2,3
"1010",201206,55,1,1,8,1,NA,NA,2,1,1,1,NA,1
"1011",201207,53,1,1,3,1,1,1,NA,2,1,2,2,3
"1012",201209,48,2,2,7,1,1,1,2,2,1,2,2,3
"1013",201213,58,1,1,3,1,NA,NA,2,2,2,2,NA,2
"1014",201216,43,1,1,5,2,NA,NA,2,1,1,1,2,5
"1015",201238,49,1,2,6,1,1,1,2,2,1,1,2,2
"1016",201240,35,2,1,2,2,NA,NA,2,1,1,NA,NA,3
"1017",201242,67,1,2,7,1,2,1,2,2,2,1,2,4
"1018",201245,33,1,1,8,1,1,1,2,1,1,2,2,3
"1019",201249,60,1,1,2,2,2,2,2,2,8,NA,2,2
"1020",201271,56,1,1,6,1,NA,NA,2,1,1,2,8,1
"1021",201272,30,1,1,6,2,NA,NA,2,1,1,1,2,2
"1022",201273,67,8,1,7,2,NA,NA,2,2,1,NA,2,4
"1023",201279,67,1,1,99,1,NA,NA,NA,1,2,NA,NA,2
"1024",201281,68,2,2,6,1,2,1,2,1,2,NA,2,3
"1025",201283,57,1,2,5,1,NA,NA,NA,2,8,2,2,2
"1026",201296,79,1,2,5,1,2,2,NA,2,8,NA,NA,3
"1027",201297,41,1,2,8,1,1,1,2,2,1,2,2,3
"1028",201316,65,1,1,1,2,2,2,NA,2,2,NA,NA,8
"1029",201319,67,4,1,8,1,NA,NA,2,2,8,2,NA,5
"1030",201321,20,1,1,9,1,1,1,2,1,1,1,2,5
"1031",201326,19,1,2,6,2,1,2,1,2,1,1,2,3
"1032",201335,56,1,2,1,2,2,2,NA,1,1,NA,2,5
