"","team_api_id","team_fifa_api_id","team_long_name","buildUpPlay","chanceCreation","defense","goals"
"120",8357,165,"SpVgg Greuther Fürth",167,170,170,26
"121",9776,110500,"Eintracht Braunschweig",183,195,157,29
"122",8460,10030,"SC Paderborn 07",175,168,145,31
"123",8234,111239,"FC Ingolstadt 04",160,151,140,33
"124",8262,110502,"SV Darmstadt 98",179,174,129,38
"125",8524,39,"Atalanta",146,170,165,283
"126",8551,1838,"Siena",144,183,160,149
"127",8529,1842,"Cagliari",167,196,187,309
"128",8543,46,"Lazio",188,220,190,417
"129",8530,110364,"Catania",175,178,147,251
"130",10233,110556,"Genoa",184,182,154,392
"131",8533,192,"Chievo Verona",187,170,165,285
"132",8690,203,"Reggio Calabria",163,186,140,30
"133",8535,110374,"Fiorentina",121,172,184,440
"134",9885,45,"Juventus",115,195,169,543
"135",8564,47,"Milan",170,177,164,496
"136",9857,189,"Bologna",164,175,135,263
"137",8686,52,"Roma",153,208,155,530
"138",9875,48,"Napoli",180,215,165,514
"139",9882,1837,"Sampdoria",130,180,175,318
"140",8636,44,"Inter",182,203,165,496
"141",9804,54,"Torino",209,189,145,241
"142",9888,347,"Lecce",100,175,165,121
"143",8600,55,"Udinese",205,199,160,415
"144",8540,1843,"Palermo",168,165,152,351
"145",9976,1848,"Bari",157,193,161,76
"146",8537,1844,"Livorno",183,172,163,66
"147",10167,50,"Parma",152,176,166,272
"148",9880,110915,"Cesena",143,170,145,98
"149",9858,190,"Brescia",141,180,155,34
"150",6269,112225,"Novara",179,172,151,34
"151",9878,200,"Pescara",152,180,145,27
"152",9876,206,"Hellas Verona",157,173,169,145
"153",7943,111974,"Sassuolo",188,186,138,141
"154",8534,1746,"Empoli",145,186,164,86
"155",9891,111657,"Frosinone",157,156,193,35
"156",208931,112409,"Carpi",190,160,141,37
"157",8277,1909,"Vitesse",145,173,180,423
"158",8674,1915,"FC Groningen",142,177,149,390
"159",9803,1902,"Roda JC Kerkrade",133,159,146,343
"160",8611,1908,"FC Twente",131,172,197,509
"161",8525,1907,"Willem II",150,166,153,222
"162",8593,245,"Ajax",117,199,193,647
"163",8464,1910,"N.E.C.",150,158,146,310
"164",8526,635,"De Graafschap",78,153,137,130
"165",9908,1903,"FC Utrecht",152,182,159,408
"166",8640,247,"PSV",153,200,167,652
"167",9791,100634,"Heracles Almelo",147,173,169,403
"168",10235,246,"Feyenoord",154,165,160,489
"169",8614,100646,"Sparta Rotterdam",75,140,90,76
"170",10217,650,"ADO Den Haag",162,181,173,366
"171",6601,0,"FC Volendam",0,0,0,38
"172",10228,1913,"SC Heerenveen",150,171,183,470
"173",10229,1906,"AZ",154,185,184,492
"174",9761,1904,"NAC Breda",153,141,143,294
"175",10219,1905,"RKC Waalwijk",142,159,150,153
"176",9839,100651,"VVV-Venlo",100,164,155,152
"177",10218,1971,"Excelsior",163,162,106,154
"178",6413,1914,"PEC Zwolle",137,165,181,204
"179",7788,647,"SC Cambuur",136,159,138,119
"180",6433,100632,"Go Ahead Eagles",160,132,141,74
"181",6631,100626,"FC Dordrecht",134,176,164,24
"182",10265,1873,"Wisła Kraków",135,183,205,332
"183",8031,111429,"Polonia Bytom",84,150,185,88
"184",8020,111429,"Polonia Bytom",84,150,185,245
"185",1601,874,"Ruch Chorzów",139,186,175,280
"186",8673,1871,"Legia Warszawa",141,170,195,409
"187",2183,1570,"P. Warszawa",80,180,175,184
"188",8025,111092,"Śląsk Wrocław",140,165,180,318
"189",8030,111091,"Lechia Gdańsk",162,183,205,279
"190",8244,301,"Widzew Łódź",190,185,158,50
"191",8242,1564,"Odra Wodzisław",75,155,205,50
"192",2182,873,"Lech Poznań",176,196,160,372
"193",8569,110744,"GKS Bełchatów",143,175,200,190
"194",8322,111082,"Arka Gdynia",83,150,205,77
"195",1957,110745,"Jagiellonia Białystok",158,163,210,287
"196",8028,111086,"Piast Gliwice",183,169,195,204
"197",2186,110747,"Cracovia",125,168,205,235
"198",8245,111083,"Korona Kielce",192,169,172,237
"199",8021,110749,"Zagłębie Lubin",133,192,210,207
"200",8024,301,"Widzew Łódź",190,185,158,122
"201",8033,111087,"Podbeskidzie Bielsko-Biała",193,166,152,169
"202",8023,110746,"Pogoń Szczecin",134,185,158,152
"203",8027,112512,"Zawisza Bydgoszcz",145,168,143,75
"204",8019,110565,"Górnik Łęczna",140,139,149,61
"205",177361,0,"Termalica Bruk-Bet Nieciecza",0,0,0,33
"206",9773,236,"FC Porto",173,196,178,541
"207",9807,1889,"CF Os Belenenses",157,160,135,148
"208",9768,237,"Sporting CP",178,204,174,411
"209",7992,0,"Trofense",0,0,0,25
"210",7844,1887,"Vitória Guimarães",131,179,177,300
"211",10238,665,"Vitória Setúbal",149,165,140,238
"212",6403,1892,"FC Paços de Ferreira",142,170,150,292
"213",10264,1896,"SC Braga",145,166,150,398
"214",10213,0,"Amadora",0,0,0,26
"215",10215,1901,"Académica de Coimbra",150,172,151,240
"216",7841,744,"Rio Ave FC",157,180,153,248
"217",9772,234,"SL Benfica",178,185,175,568
"218",6421,10018,"Leixões SC",60,165,90,55
"219",10214,1891,"CD Nacional",167,165,156,332
"220",9809,100737,"Naval 1° de Maio",115,165,121,71
"221",10212,1893,"CS Marítimo",182,186,144,316
"222",9771,1895,"União de Leiria, SAD",100,150,154,85
"223",2033,111540,"S.C. Olhanense",147,165,155,138
"224",9765,0,"Portimonense",0,0,0,29
"225",10211,1897,"SC Beira Mar",94,165,155,93
"226",4064,0,"Feirense",0,0,0,27
"227",9764,1888,"Gil Vicente FC",176,152,149,110
"228",8348,1900,"Moreirense FC",139,144,138,101
"229",7842,10020,"Estoril Praia",174,139,150,167
"230",158085,112513,"FC Arouca",174,160,113,101
"231",6547,100741,"FC Penafiel",147,146,121,29
"232",8613,1898,"Boavista FC",153,128,148,51
"233",6367,0,"Uniao da Madeira",0,0,0,27
"234",188163,0,"Tondela",0,0,0,34
"235",8596,79,"Falkirk",140,200,200,68
"236",8548,86,"Rangers",153,210,200,324
"237",9860,80,"Heart of Midlothian",168,210,200,317
"238",9927,83,"Motherwell",172,205,200,403
"239",8597,82,"Kilmarnock",167,205,200,346
"240",10251,81,"Hibernian",148,200,200,259
"241",8485,77,"Aberdeen",184,210,200,365
"242",8066,620,"Inverness Caledonian Thistle",169,174,139,345
"243",9925,78,"Celtic",180,205,200,695
"244",9800,100805,"St. Mirren",178,210,200,257
"245",8429,184,"Hamilton Academical FC",143,200,195,185
"246",9938,181,"Dundee United",171,205,200,438
"247",8467,100804,"St. Johnstone FC",162,150,142,308
"248",8457,182,"Dunfermline Athletic",115,168,148,40
"249",8284,180,"Dundee FC",142,158,154,127
"250",8649,631,"Ross County FC",153,153,143,192
"251",8426,1754,"Partick Thistle F.C.",143,160,143,135
"252",10267,461,"Valencia CF",116,185,175,484
"253",8661,453,"RCD Mallorca",172,163,156,238
"254",8371,479,"CA Osasuna",143,193,177,232
"255",10205,483,"Villarreal CF",126,161,165,364
"256",9783,242,"RC Deportivo de La Coruña",157,187,154,241
"257",8633,243,"Real Madrid CF",153,200,178,843
"258",8388,477,"CD Numancia",137,160,158,38
"259",8634,241,"FC Barcelona",122,175,195,849
"260",8696,456,"Racing Santander",147,205,168,160
"261",8302,481,"Sevilla FC",183,206,195,478
"262",9869,459,"Real Sporting de Gijón",153,185,195,200
"263",8305,1860,"Getafe CF",117,155,164,345
"264",8603,449,"Real Betis Balompié",145,206,165,225
"265",8479,571,"RC Recreativo",148,140,151,34
"266",8558,452,"RCD Espanyol",146,196,180,338
"267",10281,462,"Real Valladolid",153,172,161,170
"268",8315,448,"Athletic Club de Bilbao",139,184,170,415
"269",9865,1861,"UD Almería",152,180,193,202
"270",9906,240,"Atlético Madrid",157,206,160,524
"271",9864,573,"Málaga CF",129,191,164,377
"272",9868,1742,"Xerez Club Deportivo",104,159,165,38
"273",8394,244,"Real Zaragoza",154,166,158,159
"274",9867,260,"CD Tenerife",163,180,174,40
"275",10278,100879,"Hércules Club de Fútbol",154,178,160,36
"276",8581,1853,"Levante UD",171,182,155,241
"277",8560,457,"Real Sociedad",162,171,171,316
"278",7878,110832,"Granada CF",166,200,170,179
"279",8370,480,"Rayo Vallecano",141,161,178,247
"280",9910,450,"RC Celta de Vigo",169,179,169,184
"281",10268,468,"Elche CF",171,165,158,65
"282",8372,467,"SD Eibar",165,179,142,83
"283",7869,1867,"Córdoba CF",146,171,129,22
"284",8306,472,"UD Las Palmas",147,187,171,45
"285",9956,322,"Grasshopper Club Zürich",164,184,160,429
"286",6493,1714,"AC Bellinzona",101,175,150,128
"287",10192,900,"BSC Young Boys",172,202,170,529
"288",9931,896,"FC Basel",170,186,180,619
"289",9930,434,"FC Aarau",156,181,150,153
"290",10179,110770,"FC Sion",155,177,146,371
"291",10199,897,"FC Luzern",165,175,153,421
"292",9824,286,"FC Vaduz",141,137,133,100
"293",7955,435,"Neuchâtel Xamax",105,190,150,171
"294",10243,894,"FC Zürich",157,165,163,468
"295",10190,898,"FC St. Gallen",146,157,155,276
"296",10191,1715,"FC Thun",152,166,145,279
"297",9777,324,"Servette FC",99,175,170,77
"298",7730,1862,"FC Lausanne-Sports",141,164,165,99
"299",7896,0,"Lugano",0,0,0,46
